"id_turma";"codigo_turma";"id_docente_interno";"id_docente_externo";"observacao";"id_componente_curricular";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes";
"1246001";"05";"5756480";"";"";"58280";"GRADUAÇÃO";"Campus Caicó";"Escola Multicampi de Ciências Médicas";"2015";"1";"2015-02-02";"2015-06-20";"23456M234 (02/02/2015 - 06/02/2015),  6T23456 (09/03/2015 - 13/03/2015),  6T23456 (06/04/2015 - 10/04/2015),  6T23456 (11/05/2015 - 15/05/2015), 7M6  7T23456 (15/06/2015 - 20/06/2015)";"8";"8";"REGULAR";"f";"2015-06-26 15:10:34.007";"f";"";"36";"CONSOLIDADA";"";"Presencial";
"1246002";"01";"5756238";"";"";"58472";"GRADUAÇÃO";"Campus Caicó";"Escola Multicampi de Ciências Médicas";"2015";"1";"2015-02-02";"2015-06-13";"4T234 (02/02/2015 - 13/06/2015)";"";"30";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial";
"1246002";"01";"5757041";"";"";"58472";"GRADUAÇÃO";"Campus Caicó";"Escola Multicampi de Ciências Médicas";"2015";"1";"2015-02-02";"2015-06-13";"4T234 (02/02/2015 - 13/06/2015)";"";"30";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial";
"1246003";"01";"5757049";"";"";"58473";"GRADUAÇÃO";"Campus Caicó";"Escola Multicampi de Ciências Médicas";"2015";"1";"2015-02-02";"2015-06-13";"2T23 (02/02/2015 - 13/06/2015)";"1";"20";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial";
"1246003";"01";"5756742";"";"";"58473";"GRADUAÇÃO";"Campus Caicó";"Escola Multicampi de Ciências Médicas";"2015";"1";"2015-02-02";"2015-06-13";"2T23 (02/02/2015 - 13/06/2015)";"1";"20";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial";
"1246004";"01";"5756738";"";"";"58474";"GRADUAÇÃO";"Campus Caicó";"Escola Multicampi de Ciências Médicas";"2015";"1";"2015-02-02";"2015-06-13";"2T234 (02/02/2015 - 13/06/2015)";"1";"20";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial";
"1246004";"01";"5756257";"";"";"58474";"GRADUAÇÃO";"Campus Caicó";"Escola Multicampi de Ciências Médicas";"2015";"1";"2015-02-02";"2015-06-13";"2T234 (02/02/2015 - 13/06/2015)";"1";"20";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial";
"1246005";"01";"5756480";"";"";"58475";"GRADUAÇÃO";"Campus Caicó";"Escola Multicampi de Ciências Médicas";"2015";"1";"2015-02-02";"2015-06-13";"4T234 (02/02/2015 - 13/06/2015)";"2";"20";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial";
"1246010";"01A";"5756238";"";"";"58271";"GRADUAÇÃO";"Campus Caicó";"Escola Multicampi de Ciências Médicas";"2015";"1";"2015-05-25";"2015-06-20";"23456M34  23456T2 (25/05/2015 - 20/06/2015)";"40";"40";"REGULAR";"f";"2015-06-25 16:46:36.408";"f";"1246009";"57";"CONSOLIDADA";"";"Presencial";
"1246010";"01A";"5756241";"";"";"58271";"GRADUAÇÃO";"Campus Caicó";"Escola Multicampi de Ciências Médicas";"2015";"1";"2015-05-25";"2015-06-20";"23456M34  23456T2 (25/05/2015 - 20/06/2015)";"40";"40";"REGULAR";"f";"2015-06-25 16:46:36.408";"f";"1246009";"57";"CONSOLIDADA";"";"Presencial";
"1246010";"01A";"5756730";"";"";"58271";"GRADUAÇÃO";"Campus Caicó";"Escola Multicampi de Ciências Médicas";"2015";"1";"2015-05-25";"2015-06-20";"23456M34  23456T2 (25/05/2015 - 20/06/2015)";"40";"40";"REGULAR";"f";"2015-06-25 16:46:36.408";"f";"1246009";"57";"CONSOLIDADA";"";"Presencial";
"1246010";"01A";"5756257";"";"";"58271";"GRADUAÇÃO";"Campus Caicó";"Escola Multicampi de Ciências Médicas";"2015";"1";"2015-05-25";"2015-06-20";"23456M34  23456T2 (25/05/2015 - 20/06/2015)";"40";"40";"REGULAR";"f";"2015-06-25 16:46:36.408";"f";"1246009";"57";"CONSOLIDADA";"";"Presencial";
"1246010";"01A";"5756480";"";"";"58271";"GRADUAÇÃO";"Campus Caicó";"Escola Multicampi de Ciências Médicas";"2015";"1";"2015-05-25";"2015-06-20";"23456M34  23456T2 (25/05/2015 - 20/06/2015)";"40";"40";"REGULAR";"f";"2015-06-25 16:46:36.408";"f";"1246009";"57";"CONSOLIDADA";"";"Presencial";
"1246010";"01A";"5756731";"";"";"58271";"GRADUAÇÃO";"Campus Caicó";"Escola Multicampi de Ciências Médicas";"2015";"1";"2015-05-25";"2015-06-20";"23456M34  23456T2 (25/05/2015 - 20/06/2015)";"40";"40";"REGULAR";"f";"2015-06-25 16:46:36.408";"f";"1246009";"57";"CONSOLIDADA";"";"Presencial";
"1246010";"01A";"5756738";"";"";"58271";"GRADUAÇÃO";"Campus Caicó";"Escola Multicampi de Ciências Médicas";"2015";"1";"2015-05-25";"2015-06-20";"23456M34  23456T2 (25/05/2015 - 20/06/2015)";"40";"40";"REGULAR";"f";"2015-06-25 16:46:36.408";"f";"1246009";"57";"CONSOLIDADA";"";"Presencial";
"1246010";"01A";"5756742";"";"";"58271";"GRADUAÇÃO";"Campus Caicó";"Escola Multicampi de Ciências Médicas";"2015";"1";"2015-05-25";"2015-06-20";"23456M34  23456T2 (25/05/2015 - 20/06/2015)";"40";"40";"REGULAR";"f";"2015-06-25 16:46:36.408";"f";"1246009";"57";"CONSOLIDADA";"";"Presencial";
"1246010";"01A";"5756260";"";"";"58271";"GRADUAÇÃO";"Campus Caicó";"Escola Multicampi de Ciências Médicas";"2015";"1";"2015-05-25";"2015-06-20";"23456M34  23456T2 (25/05/2015 - 20/06/2015)";"40";"40";"REGULAR";"f";"2015-06-25 16:46:36.408";"f";"1246009";"57";"CONSOLIDADA";"";"Presencial";
"1246010";"01A";"5756787";"";"";"58271";"GRADUAÇÃO";"Campus Caicó";"Escola Multicampi de Ciências Médicas";"2015";"1";"2015-05-25";"2015-06-20";"23456M34  23456T2 (25/05/2015 - 20/06/2015)";"40";"40";"REGULAR";"f";"2015-06-25 16:46:36.408";"f";"1246009";"57";"CONSOLIDADA";"";"Presencial";
"1246010";"01A";"5757049";"";"";"58271";"GRADUAÇÃO";"Campus Caicó";"Escola Multicampi de Ciências Médicas";"2015";"1";"2015-05-25";"2015-06-20";"23456M34  23456T2 (25/05/2015 - 20/06/2015)";"40";"40";"REGULAR";"f";"2015-06-25 16:46:36.408";"f";"1246009";"57";"CONSOLIDADA";"";"Presencial";
"1246010";"01A";"5756244";"";"";"58271";"GRADUAÇÃO";"Campus Caicó";"Escola Multicampi de Ciências Médicas";"2015";"1";"2015-05-25";"2015-06-20";"23456M34  23456T2 (25/05/2015 - 20/06/2015)";"40";"40";"REGULAR";"f";"2015-06-25 16:46:36.408";"f";"1246009";"57";"CONSOLIDADA";"";"Presencial";
"1246010";"01A";"5756233";"";"";"58271";"GRADUAÇÃO";"Campus Caicó";"Escola Multicampi de Ciências Médicas";"2015";"1";"2015-05-25";"2015-06-20";"23456M34  23456T2 (25/05/2015 - 20/06/2015)";"40";"40";"REGULAR";"f";"2015-06-25 16:46:36.408";"f";"1246009";"57";"CONSOLIDADA";"";"Presencial";
